year,inflacion_anual,variacion
2024,219.883929014578,
2023,133.488935594175,-39.29118140083586
2022,72.430757531824,-45.740253894881874
2021,48.4093786255199,-33.16461089855341
2020,42.0150947376509,-13.208770840322536
2019,53.5483043492339,27.450157338923663
2018,34.2772237131003,-35.988218245811375
